ERCCGene	13-11T-Old	15-13T-Old	20-1T-AD	16-14T-Old	3-17T-Young	5-18T-Young	7-19T-Young	21-1A-AD	23-2A-AD	26-3A-AD	27-5A-AD	12-6A-Old	14-7A-Old	10-8A-Old	22-2T-AD	17-9A-Old	18-10A-Old	19-11A-Old	2-12A-Young	4-13A-Young	6-14A-Young	8-15A-Young	9-16A-Young	24-3T-AD	25-5T-AD	29-6T-AD	31-7T-AD	28-8T-AD	30-9T-AD	11-10T-Old
ERCC-00002	44892	36445	24990	22536	116124	103950	47969	32254	74487	68370	63052	67826	39215	41936	34467	27908	64427	51416	30878	29900	18625	141080	30069	58622	120249	74196	25732	116774	28349	22682
ERCC-00003	1639	1009	530	478	1732	2673	1034	1379	3343	2166	2558	2397	1506	1742	1094	1137	2188	2205	1031	1232	873	4723	580	2269	2908	1968	654	2857	967	316
ERCC-00004	2807	1350	547	590	2497	4453	1251	2593	6303	3383	4019	4136	2326	3176	1794	1620	3590	3938	1516	1938	1482	8885	661	3854	3938	2760	801	4683	1496	340
ERCC-00009	1658	1193	887	744	3335	3515	1650	1142	2511	2300	2352	2472	1551	1590	1235	957	2254	2015	1218	1172	744	4842	923	2090	3569	2410	1033	4062	1026	707
ERCC-00012	1	1	0	0	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ERCC-00013	1	1	1	1	9	3	5	2	4	5	3	1	1	2	1	0	2	0	2	3	2	6	0	4	2	2	0	8	1	2
ERCC-00014	8	10	3	8	43	25	21	6	38	24	24	17	11	9	9	13	22	17	9	8	9	46	8	26	43	20	7	46	8	6
ERCC-00016	0	0	0	1	1	2	0	0	1	0	0	2	4	1	0	2	0	0	0	0	0	1	0	0	3	2	0	0	0	0
ERCC-00017	0	0	0	0	0	0	0	0	0	1	1	0	0	0	3	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0
ERCC-00019	31	25	18	13	61	59	27	31	41	50	45	38	18	22	24	20	37	29	20	22	24	90	19	38	58	39	20	62	23	12
ERCC-00022	308	229	140	106	396	575	257	259	536	408	452	378	275	322	245	208	438	348	205	225	143	923	156	393	552	368	153	645	206	89
ERCC-00024	0	0	1	0	0	0	0	0	1	1	0	1	0	0	1	0	0	1	0	0	0	2	1	0	0	0	0	1	0	0
ERCC-00025	336	264	163	162	730	661	332	233	554	458	480	474	298	329	276	215	444	381	239	242	148	950	224	437	782	532	187	773	201	141
ERCC-00028	6	7	4	5	18	15	7	10	10	11	11	6	9	3	1	8	16	3	7	3	4	16	4	9	11	14	3	19	3	3
ERCC-00031	6	5	0	1	5	7	3	1	7	4	6	10	1	6	2	1	6	6	3	2	0	13	0	3	10	5	2	6	2	0
ERCC-00033	4	2	0	2	8	4	4	1	12	6	5	2	1	8	3	5	11	2	1	3	2	7	2	6	13	4	3	7	6	4
ERCC-00034	45	28	10	20	68	86	38	29	66	56	54	53	35	39	29	15	58	44	25	19	17	117	30	57	70	53	23	92	18	8
ERCC-00035	291	272	180	171	607	648	312	225	529	506	448	431	266	283	228	194	485	392	221	230	129	855	233	437	741	461	205	700	200	162
ERCC-00039	3	6	3	1	11	5	2	5	10	12	7	4	1	5	8	4	6	6	4	2	3	10	3	9	9	7	4	19	1	2
ERCC-00040	0	2	1	1	3	3	1	0	1	5	4	2	5	3	2	2	3	3	3	2	2	3	1	2	5	0	0	7	1	0
ERCC-00041	0	1	0	1	1	1	1	1	0	2	1	1	1	0	0	1	2	0	1	0	0	1	1	2	0	1	0	4	0	1
ERCC-00042	1026	644	235	326	1383	1796	631	913	1997	1418	1456	1421	947	1125	691	616	1302	1322	680	779	556	3065	405	1296	1894	1279	400	2175	582	239
ERCC-00043	1053	731	493	411	2673	2118	1004	700	1992	1469	1493	1384	859	868	700	635	1378	1231	663	716	434	3053	571	1352	3082	1631	394	1967	634	412
ERCC-00044	717	561	332	325	1256	1401	678	582	1144	985	1037	961	604	713	538	472	1010	823	501	523	304	1968	431	896	1416	1113	447	1655	483	282
ERCC-00046	3044	1947	1568	937	5992	5969	2496	2369	6045	3896	4089	4151	2547	2905	2050	1744	3786	3875	1926	2011	1422	9295	1222	4079	7037	3704	1069	5265	1752	822
ERCC-00048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
ERCC-00051	19	8	6	5	15	21	6	11	33	16	13	22	17	10	13	15	16	20	11	10	7	47	5	26	21	11	8	17	9	4
ERCC-00053	53	17	19	9	72	101	38	29	75	56	50	65	31	37	36	26	55	51	28	28	25	142	25	59	123	40	21	85	27	13
ERCC-00054	7	1	2	1	1	6	6	4	6	5	4	6	6	2	4	5	6	6	7	5	4	6	1	10	9	5	4	10	1	1
ERCC-00057	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ERCC-00058	4	1	3	3	15	12	9	2	5	9	7	11	6	6	4	5	11	8	3	3	6	18	3	6	20	13	3	11	3	11
ERCC-00059	17	9	2	7	34	35	18	14	30	23	29	37	23	15	13	21	40	25	12	22	13	69	7	25	55	25	12	39	10	7
ERCC-00060	318	199	105	95	351	465	218	230	547	387	443	398	276	239	181	168	369	348	183	224	161	770	131	366	569	341	94	473	169	58
ERCC-00061	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ERCC-00062	75	51	36	39	98	100	62	57	125	74	108	90	63	62	61	60	88	96	53	41	29	188	30	92	159	104	34	122	36	23
ERCC-00067	1	1	1	4	3	3	3	1	4	0	2	4	1	3	5	2	2	3	2	2	0	9	1	3	7	6	4	4	1	0
ERCC-00069	3	4	4	2	9	10	4	5	2	4	9	13	9	3	6	1	8	7	5	4	2	17	2	6	19	9	0	17	4	1
ERCC-00071	73	68	26	40	133	159	77	77	134	115	135	108	79	80	73	69	101	100	75	76	42	268	56	109	155	125	42	211	55	28
ERCC-00073	3	0	1	0	3	3	5	2	2	2	3	2	2	0	0	3	1	3	1	2	0	7	1	2	2	5	1	1	0	0
ERCC-00074	9499	5150	3007	2206	9119	15286	5019	10096	19591	11600	15404	13457	9239	10325	5858	6088	12292	13622	5786	7138	5571	27774	2863	12545	13225	9215	3110	15348	5458	1338
ERCC-00075	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00076	250	194	143	118	514	475	241	173	424	349	379	334	204	244	184	166	310	292	172	155	99	660	157	317	604	415	142	552	146	97
ERCC-00077	1	2	0	0	1	1	4	5	4	1	2	1	2	1	1	1	3	4	3	0	2	5	1	3	2	6	0	1	0	2
ERCC-00078	83	71	37	35	197	184	68	64	136	135	104	122	68	81	53	53	109	93	61	62	37	222	56	85	183	127	40	186	56	36
ERCC-00079	86	47	33	44	157	160	78	65	122	115	119	75	79	78	46	63	112	101	37	59	30	191	45	106	184	121	56	173	42	39
ERCC-00081	0	1	0	0	0	1	0	0	1	0	1	0	0	2	0	0	0	1	0	0	1	0	0	2	0	0	0	1	1	0
ERCC-00083	0	1	0	0	0	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	0	3	0	0	0	0	0	0	0	0
ERCC-00084	69	49	33	26	145	159	73	65	124	93	104	106	70	63	53	33	72	87	43	49	41	194	37	113	154	107	33	158	45	35
ERCC-00085	10	7	7	3	17	27	6	10	14	10	14	10	8	7	6	4	18	14	8	6	7	35	5	9	13	14	7	22	7	2
ERCC-00086	0	1	0	0	0	2	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	1	0	0	2	0	0	0	0	0
ERCC-00092	575	491	280	303	1047	1238	587	470	977	913	864	852	601	617	454	362	840	637	420	445	297	1735	368	766	1235	903	375	1450	410	240
ERCC-00095	98	55	33	16	80	155	58	102	187	126	136	146	71	120	53	57	138	120	60	81	54	256	31	127	147	105	31	190	51	21
ERCC-00096	46328	36417	18196	22207	85035	90905	40933	36295	75018	67451	67831	67127	43716	45732	35623	30843	65383	54707	33543	33970	22359	127948	28697	59261	96725	70306	27152	105944	30379	18810
ERCC-00097	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0
ERCC-00098	1	0	0	0	0	0	1	0	0	0	1	3	0	0	0	0	0	1	0	0	0	2	0	1	0	0	0	0	1	0
ERCC-00099	33	22	11	17	73	89	27	28	71	60	50	62	28	40	28	31	74	58	34	32	16	134	13	59	106	58	14	75	21	18
ERCC-00104	0	1	0	1	3	1	0	2	2	0	0	2	0	1	0	2	0	0	1	1	1	4	0	3	3	1	1	1	0	1
ERCC-00108	1374	930	617	573	2411	2795	1233	1104	2366	2088	2082	2054	1265	1471	1049	914	1859	1713	1002	958	684	4043	732	1872	2733	2045	789	3229	927	469
ERCC-00109	2	1	0	0	3	0	0	0	0	2	1	0	2	0	1	1	1	0	0	1	0	3	0	0	2	0	0	2	1	0
ERCC-00111	1056	737	319	417	1506	1933	793	953	1849	1442	1611	1505	1015	1086	705	703	1439	1350	722	842	519	2938	507	1304	1870	1427	561	2372	702	316
ERCC-00112	356	253	180	160	825	742	329	264	643	535	518	526	350	323	270	241	544	426	239	300	183	1087	183	441	834	562	185	841	240	147
ERCC-00113	7703	5698	2512	3117	11359	14637	5972	6361	13176	10873	11402	11502	7523	8029	5641	5096	11151	9593	5457	5784	4097	21558	4090	9903	13732	10759	4264	17046	5100	2346
ERCC-00116	1579	1144	865	711	2899	3238	1509	1207	2636	2146	2206	2270	1480	1505	1138	954	2240	1873	1088	1093	688	4335	864	2091	3233	2352	879	3690	1018	583
ERCC-00117	0	1	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2
ERCC-00120	0	0	1	0	0	0	0	1	1	0	1	1	0	2	0	0	1	4	0	0	1	0	0	2	2	1	1	2	1	1
ERCC-00123	1	0	0	0	1	0	0	0	0	0	0	1	2	0	0	0	2	0	0	0	1	2	0	2	0	0	0	0	0	0
ERCC-00126	14	15	8	11	25	36	15	15	23	28	18	22	11	10	9	9	20	22	19	10	12	41	9	17	38	22	6	38	8	11
ERCC-00130	46406	40672	21350	26403	111160	85201	48344	32935	72159	68883	68566	57971	41966	38612	34255	29476	65165	52860	32479	31290	20249	115756	34919	59478	121729	77573	26744	99181	29692	27381
ERCC-00131	161	125	58	76	280	311	120	116	256	234	226	209	138	144	120	106	249	176	97	95	73	472	80	208	304	206	77	371	91	50
ERCC-00134	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0
ERCC-00136	2951	2623	1953	1810	10780	6637	3608	1924	4604	4848	4073	3935	2525	2409	2168	1680	4184	3214	1997	1915	1179	8707	2318	3706	10346	5290	1595	7322	1790	2155
ERCC-00137	0	0	2	0	5	2	0	0	0	2	1	0	0	2	0	0	3	1	0	2	0	3	0	1	1	2	0	1	0	0
ERCC-00138	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0
ERCC-00142	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ERCC-00143	3	3	5	4	19	14	6	0	12	9	10	2	4	8	10	11	8	5	7	5	1	28	4	2	17	10	4	16	5	2
ERCC-00144	9	16	14	14	24	22	19	14	19	16	21	24	19	7	8	12	18	23	8	17	7	50	9	23	30	23	14	30	6	4
ERCC-00145	1394	1061	673	675	3193	3058	1373	1086	2407	2180	2107	2036	1308	1256	1039	854	2057	1732	985	964	605	4334	799	1834	3547	2286	733	3351	882	597
ERCC-00147	1	0	0	1	0	1	0	1	1	1	2	0	0	0	1	0	0	0	0	0	0	0	2	4	0	4	0	3	1	0
ERCC-00148	14	9	8	7	22	22	7	3	23	16	15	12	7	10	7	10	12	15	7	6	6	20	4	13	19	24	11	21	4	8
ERCC-00150	6	4	4	1	11	10	8	1	8	7	7	5	5	3	1	3	9	7	4	5	2	5	1	7	16	16	4	9	4	0
ERCC-00154	7	4	0	5	7	12	4	5	7	7	13	4	5	9	6	3	5	4	6	2	4	8	2	7	5	8	5	8	5	3
ERCC-00156	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	1	0
ERCC-00157	18	26	12	15	63	54	29	27	41	47	56	44	15	41	20	22	43	26	16	17	11	87	19	44	53	29	21	63	20	16
ERCC-00158	2	0	0	2	2	1	1	2	0	2	4	4	2	2	1	0	1	3	2	0	1	0	0	0	2	4	0	6	1	0
ERCC-00160	22	16	15	18	50	54	35	23	47	38	40	30	38	21	24	14	41	33	15	23	11	88	13	52	63	49	13	70	15	11
ERCC-00162	49	24	19	11	29	66	31	65	106	66	86	72	50	66	32	42	71	75	40	28	30	128	19	71	80	60	18	86	39	6
ERCC-00163	19	7	11	4	30	33	24	11	28	18	25	29	20	18	12	7	20	29	14	12	9	36	14	26	40	36	7	56	12	9
ERCC-00164	1	0	0	0	0	0	1	1	3	0	0	0	2	1	2	1	0	0	0	2	0	1	0	2	5	2	0	0	0	0
ERCC-00165	153	103	82	72	202	233	133	113	202	192	217	201	136	125	97	85	180	178	100	105	67	325	75	160	219	186	89	334	98	51
ERCC-00168	0	3	0	1	0	0	0	2	2	2	2	0	2	1	1	1	0	1	0	0	0	7	0	0	5	0	0	2	0	1
ERCC-00170	35	18	14	14	59	65	30	23	69	53	45	43	28	37	30	13	39	49	26	24	12	72	19	46	70	45	16	54	24	7
ERCC-00171	3360	2663	1496	1530	4757	5705	2959	2827	5739	4738	4988	4655	3237	3197	2487	2219	4752	4117	2290	2488	1738	8286	2044	4439	6254	4904	1883	7141	2180	1406
