SRR12158136	GSM4656353	5-18T-Young
SRR12158135	GSM4656352	3-17T-Young
SRR12158134	GSM4656351	16-14T-Old
SRR12158131	GSM4656348	13-11T-Old
SRR12158133	GSM4656350	20-1T-AD
SRR12158132	GSM4656349	15-13T-Old
SRR12158138	GSM4656355	21-1A-AD
SRR12158142	GSM4656359	12-6A-Old
SRR12158139	GSM4656356	23-2A-AD
SRR12158141	GSM4656358	27-5A-AD
SRR12158140	GSM4656357	26-3A-AD
SRR12158137	GSM4656354	7-19T-Young
SRR12158143	GSM4656360	14-7A-Old
SRR12158144	GSM4656361	10-8A-Old
SRR12158145	GSM4656362	22-2T-AD
SRR12158148	GSM4656365	19-11A-Old
SRR12158146	GSM4656363	17-9A-Old
SRR12158147	GSM4656364	18-10A-Old
SRR12158149	GSM4656366	2-12A-Young
SRR12158150	GSM4656367	4-13A-Young
SRR12158152	GSM4656369	8-15A-Young
SRR12158151	GSM4656368	6-14A-Young
SRR12158153	GSM4656370	9-16A-Young
SRR12158154	GSM4656371	24-3T-AD
SRR12158155	GSM4656372	25-5T-AD
SRR12158156	GSM4656373	29-6T-AD
SRR12158158	GSM4656375	28-8T-AD
SRR12158157	GSM4656374	31-7T-AD
SRR12158159	GSM4656376	30-9T-AD
SRR12158160	GSM4656377	11-10T-Old
